Timestamp,GPSYear,GPSMonth,GPSday,GPSHour,GPSMinute,GPSSecond,GPSHundredth,voltage,GPSFix,numSats,HDOP,Latitude,Longitude,GPSSpeed,GPSCourse,sysCal,gyroCal,accelCal,magCal,rawAccelX,rawAccelY,rawAccelZ,accelX,accelY,accelZ,rawGyroX,rawGyroY,rawGyroZ,gyroX,gyroY,gyroZ,rawMagX,rawMagY,rawMagZ,magX,magY,magZ,roll,pitch,yaw,linAccelX,linAccelY,linAccelZ,quatW,quatX,quatY,quatZ,imuTemp,state
1969-12-31T19:36:16.631000,631,2023,1,12,14,36,11,15,0.0,False,0,0,0,0,0,0,0,0,0,0,-0.17228323221206665,0.16510476171970367,9.93978500366211,-0.11790993064641953,0.0719437226653099,9.882980346679688,0.05249999836087227,-0.5512499809265137,-0.5600000023841858,-0.0751892700791359,-0.5481379628181458,-0.5481379628181458,0.0,0.0,0.0,0.0,0.0,0.0,0.31150129437446594,0.4723024070262909,243.53433227539062,-0.03704438358545303,0.01861131377518177,0.07350103557109833,0.8501843214035034,0.00014120712876319885,0.0049352929927408695,0.5264537930488586,0.0,1
1969-12-31T19:36:16.642000,642,2023,1,12,14,36,11,15,0.0,False,0,0,0,0,0,0,0,0,0,0,-1.1940186023712158,0.10767702758312225,9.951749801635742,-0.3126828670501709,0.07841136306524277,9.895427703857422,-0.08749999850988388,-0.5774999856948853,-0.5249999761581421,-0.07636032998561859,-0.5485482215881348,-0.5485482215881348,0.0,0.0,0.0,0.0,0.0,0.0,0.312371164560318,0.4784448742866516,243.53102111816406,-0.23076565563678741,0.024930069223046303,0.08595844358205795,0.8501994013786316,0.00011958440154558048,0.004984858445823193,0.5264288783073425,0.0,1
1969-12-31T19:36:16.653000,653,2023,1,12,14,36,11,15,0.0,False,0,0,0,0,0,0,0,0,0,0,-7.28375244140625,0.15314064919948578,9.820144653320312,-1.574428677558899,0.09193717688322067,9.88180160522461,-0.07000000029802322,-0.3149999976158142,-0.5512499809265137,-0.07575530558824539,-0.5333313345909119,-0.5333313345909119,0.0,0.0,0.0,0.0,0.0,0.0,0.31362250447273254,0.5207483768463135,243.5277862548828,-1.4852685928344727,0.03824198991060257,0.07239673286676407,0.8502134084701538,-6.533079431392252e-05,0.005304472520947456,0.5264031291007996,0.0,1
1969-12-31T19:36:16.664000,664,2023,1,12,14,36,11,15,0.0,False,0,0,0,0,0,0,0,0,0,0,0.6412764191627502,0.033499520272016525,9.805787086486816,-1.1733916997909546,0.0813601091504097,9.868042945861816,-0.14875000715255737,-0.4637500047683716,-0.6299999952316284,-0.08269891887903214,-0.5351168513298035,-0.5351168513298035,0.0,0.0,0.0,0.0,0.0,0.0,0.31453678011894226,0.5516194105148315,243.5245361328125,-1.0789462327957153,0.02750866301357746,0.05868811905384064,0.8502276539802551,-0.00020021091040689498,0.0055377245880663395,0.5263777375221252,0.0,1
1969-12-31T19:36:16.675000,675,2023,1,12,14,36,11,15,0.0,False,0,0,0,0,0,0,0,0,0,0,2.6632113456726074,0.02392822690308094,9.822537422180176,-0.4789762496948242,0.07096508145332336,9.859807014465332,-0.07874999940395355,-0.6825000047683716,-0.6737499833106995,-0.08232327550649643,-0.5539703965187073,-0.5539703965187073,0.0,0.0,0.0,0.0,0.0,0.0,0.31515195965766907,0.5623202919960022,243.52120971679688,-0.3826986849308014,0.01700841262936592,0.05047069862484932,0.8502427339553833,-0.00024463984300382435,0.005619953386485577,0.5263524651527405,0.0,1
1969-12-31T19:36:16.686000,686,2023,1,12,14,36,11,15,0.0,False,0,0,0,0,0,0,0,0,0,0,4.6779680252075195,0.02871387079358101,9.89432144165039,0.4544175863265991,0.06331771612167358,9.866053581237793,-0.14000000059604645,-0.8225000500679016,-0.6475000381469727,-0.08780977129936218,-0.5778365135192871,-0.5778365135192871,0.0,0.0,0.0,0.0,0.0,0.0,0.31551289558410645,0.5457462668418884,243.5177459716797,0.5478575229644775,0.009299095720052719,0.05668997764587402,0.8502590656280518,-0.00016566156409680843,0.005498641636222601,0.5263274312019348,0.0,1
1969-12-31T19:36:16.697000,697,2023,1,12,14,36,11,15,0.0,False,0,0,0,0,0,0,0,0,0,0,-0.02871387079358101,-0.05982056260108948,9.982856750488281,0.36697202920913696,0.041030000895261765,9.887194633483887,-0.10499999672174454,-0.6212499737739563,-0.5512499809265137,-0.08944498747587204,-0.5789456963539124,-0.5789456963539124,0.0,0.0,0.0,0.0,0.0,0.0,0.31521502137184143,0.5317831635475159,243.51425170898438,0.458021342754364,-0.012937745079398155,0.07780840992927551,0.8502753376960754,-0.00010357175779063255,0.005393673200160265,0.5263022184371948,0.0,1
1969-12-31T19:36:16.708000,708,2023,1,12,14,36,11,15,0.0,False,0,0,0,0,0,0,0,0,0,0,-0.09571290761232376,0.04307080805301666,9.832108497619629,0.28322723507881165,0.041399382054805756,9.87722396850586,0.09624999761581421,-0.5512499809265137,-0.5687500238418579,-0.07178077101707458,-0.5764479637145996,-0.5764479637145996,0.0,0.0,0.0,0.0,0.0,0.0,0.3150191009044647,0.5202993750572205,243.51080322265625,0.3723104000091553,-0.012534920126199722,0.0678195059299469,0.8502914905548096,-5.211900133872405e-05,0.005307564977556467,0.5262770056724548,0.0,1
1969-12-31T19:36:16.719000,719,2023,1,12,14,36,11,15,0.0,False,0,0,0,0,0,0,0,0,0,0,-0.11964112520217896,0.04785645380616188,9.899106979370117,0.21030908823013306,0.04256809502840042,9.881184577941895,0.08749999850988388,-0.48125001788139343,-0.5337499976158142,-0.056629203259944916,-0.5673581957817078,-0.5673581957817078,0.0,0.0,0.0,0.0,0.0,0.0,0.31493374705314636,0.5110198259353638,243.50738525390625,0.29780349135398865,-0.011351672001183033,0.07176551222801208,0.8503074049949646,-9.976225555874407e-06,0.005238317418843508,0.526252031326294,0.0,1
1969-12-31T19:36:16.730000,730,2023,1,12,14,36,11,15,0.0,False,0,0,0,0,0,0,0,0,0,0,1.9812570810317993,0.12203396111726761,9.89671516418457,0.5308461785316467,0.056951217353343964,9.88399600982666,0.10499999672174454,-0.49000000953674316,-0.48125001788139343,-0.04125424474477768,-0.5565828680992126,-0.5565828680992126,0.0,0.0,0.0,0.0,0.0,0.0,0.3153434991836548,0.49254927039146423,243.50401306152344,0.6151782274246216,0.0029611499048769474,0.07454963028430939,0.8503232002258301,7.804211782058701e-05,0.005103140138089657,0.5262278318405151,0.0,1
