Timestamp,GPSYear,GPSMonth,GPSday,GPSHour,GPSMinute,GPSSecond,GPSHundredth,voltage,GPSFix,numSats,HDOP,Latitude,Longitude,GPSSpeed,GPSCourse,sysCal,gyroCal,accelCal,magCal,rawAccelX,rawAccelY,rawAccelZ,accelX,accelY,accelZ,rawGyroX,rawGyroY,rawGyroZ,gyroX,gyroY,gyroZ,rawMagX,rawMagY,rawMagZ,magX,magY,magZ,roll,pitch,yaw,linAccelX,linAccelY,linAccelZ,quatW,quatX,quatY,quatZ,imuTemp,state
1969-12-31T19:00:24.020000,20,2080,1,6,0,0,3,80,3.973750114440918,False,0,0,0,0,0,0,0,0,0,0,0.21774686872959137,-1.3088740110397339,9.712467193603516,0.17613984644412994,-1.3503668308258057,9.818115234375,-0.22749999165534973,-0.918749988079071,-1.058750033378601,-0.32090678811073303,-0.01562763750553131,-0.7445425987243652,3.946214437484741,0.0,0.0,3.7076966762542725,-334.7209777832031,-30.27243995666504,-7.95126485824585,-0.8778193593025208,179.65042114257812,0.025847671553492546,0.006504053249955177,0.10361072421073914,0.997553825378418,-0.06935345381498337,-0.0074304016306996346,-0.0035743513144552708,0.0,1
1969-12-31T19:00:24.257000,257,2080,1,6,0,0,3,80,3.952500104904175,False,0,0,0,0,0,0,0,0,0,0,0.1579263061285019,-1.3639088869094849,9.879964828491211,0.17284324765205383,-1.3528178930282593,9.829309463500977,-0.9099999666213989,0.4724999964237213,-0.4462500214576721,-0.3769442141056061,0.030805453658103943,-0.7161675691604614,3.946214437484741,0.0,0.0,3.7303855419158936,-326.371337890625,-72.93927764892578,-7.959680557250977,-0.8767527341842651,179.6519775390625,0.022733669728040695,0.005480501800775528,0.11500252038240433,0.9975487589836121,-0.06942660361528397,-0.007421798538416624,-0.0035606794990599155,0.0,1
1969-12-31T19:00:24.319000,319,2080,1,6,0,0,3,80,3.9987499713897705,False,0,0,0,0,0,0,0,0,0,0,0.1698903888463974,-1.3160523176193237,9.767501831054688,0.1723087877035141,-1.3461633920669556,9.818122863769531,-0.008750000037252903,-1.2862499952316284,-1.0237499475479126,-0.34191977977752686,-0.09447930753231049,-0.7454262971878052,0.0,0.0,0.0,3.375533103942871,-337.6796569824219,-43.226295471191406,-7.96156644821167,-0.8856106996536255,179.64837646484375,0.020682740956544876,0.012451364658772945,0.10388354957103729,0.997546911239624,-0.06944344192743301,-0.007496665231883526,-0.00359758036211133,0.0,1
1969-12-31T19:00:24.387000,387,2080,1,6,0,0,4,80,3.9987499713897705,False,0,0,0,0,0,0,0,0,0,0,0.14835500717163086,-1.3423734903335571,9.856036186218262,0.16797322034835815,-1.3454774618148804,9.82498550415039,0.27125000953674316,1.0149999856948853,-0.7787500023841858,-0.2835920751094818,0.011059790849685669,-0.74859619140625,3.946214437484741,0.0,0.0,3.429819107055664,-347.9122619628906,-16.339759826660156,-7.9629011154174805,-0.8814845085144043,179.64791870117188,0.017053576186299324,0.013365058228373528,0.11076702922582626,0.997546374797821,-0.06945499777793884,-0.007460425142198801,-0.003599158488214016,0.0,1
1969-12-31T19:00:24.450000,450,2080,1,6,0,0,4,80,3.9987499713897705,False,0,0,0,0,0,0,0,0,0,0,0.12681959569454193,-1.3016955852508545,9.803394317626953,0.16052451729774475,-1.3375530242919922,9.821077346801758,-0.35875001549720764,0.5249999761581421,-0.6212499737739563,-0.2907414734363556,0.05994829908013344,-0.7364823818206787,3.946214437484741,0.0,0.0,3.4789412021636963,-357.1715087890625,7.989198684692383,-7.965463161468506,-0.878518283367157,179.64854431152344,0.010112686082720757,0.021724794059991837,0.10691172629594803,0.997545063495636,-0.06947718560695648,-0.007434909697622061,-0.003591969609260559,0.0,1
1969-12-31T19:00:24.516000,516,2080,1,6,0,0,4,80,3.9987499713897705,False,0,0,0,0,0,0,0,0,0,0,0.1627119481563568,-1.3304094076156616,9.81535816192627,0.16092044115066528,-1.3362600803375244,9.820042610168457,0.20124998688697815,-0.20124998688697815,-0.7612499594688416,-0.2439408302307129,0.035101838409900665,-0.7388383746147156,3.946214437484741,0.0,0.0,3.523390531539917,-346.6862487792969,-38.31726837158203,-7.966745376586914,-0.8813393115997314,179.64901733398438,0.010025649331510067,0.023234626278281212,0.105915367603302,0.9975440502166748,-0.06948840618133545,-0.007459711749106646,-0.003589685307815671,0.0,1
1969-12-31T19:00:24.577000,577,2080,1,6,0,0,4,80,3.930000066757202,False,0,0,0,0,0,0,0,0,0,0,0.17946171760559082,-1.3519448041915894,9.820144653320312,0.1642763614654541,-1.3390989303588867,9.820060729980469,-0.27125000953674316,0.04374999925494194,-0.7612499594688416,-0.24653860926628113,0.03592449426651001,-0.740970253944397,3.946214437484741,0.0,0.0,3.5636115074157715,-356.0621032714844,-11.897703170776367,-7.971577167510986,-0.8838809728622437,179.6493377685547,0.01294645480811596,0.021213725209236145,0.10605363547801971,0.997541069984436,-0.06953048706054688,-0.007481876760721207,-0.0035888017155230045,0.0,1
1969-12-31T19:00:24.645000,645,2080,1,6,0,0,4,80,3.930000066757202,False,0,0,0,0,0,0,0,0,0,0,0.15074782073497772,-1.3304094076156616,9.80817985534668,0.16182772815227509,-1.3375262022018433,9.817910194396973,-0.11374999582767487,0.4375,-0.7524999976158142,-0.23390710353851318,0.07412432134151459,-0.7420670390129089,3.946214437484741,0.0,0.0,3.600006580352783,-345.682373046875,-56.31243133544922,-7.974423408508301,-0.8827951550483704,179.64939880371094,0.010683690197765827,0.023269440978765488,0.10396920889616013,0.9975392818450928,-0.06955523788928986,-0.007472376339137554,-0.0035877544432878494,0.0,1
1969-12-31T19:00:24.706000,706,2080,1,6,0,0,4,80,3.930000066757202,False,0,0,0,0,0,0,0,0,0,0,0.14835500717163086,-1.3423734903335571,9.805787086486816,0.1593891978263855,-1.338403582572937,9.815715789794922,-0.13124999403953552,-0.3062500059604645,-0.8137500286102295,-0.22414185106754303,0.037941254675388336,-0.7488858699798584,3.946214437484741,0.0,0.0,3.632939577102661,-355.1537170410156,-28.181079864501953,-7.978037357330322,-0.8853079080581665,179.64968872070312,0.007814993150532246,0.023003797978162766,0.10186630487442017,0.9975370168685913,-0.06958673149347305,-0.007494313642382622,-0.003586981212720275,0.0,1
1969-12-31T19:00:24.772000,772,2080,1,6,0,0,4,80,3.930000066757202,False,0,0,0,0,0,0,0,0,0,0,0.13878372311592102,-1.3639088869094849,9.839286804199219,0.15565966069698334,-1.343019962310791,9.819982528686523,0.1574999988079071,-0.3499999940395355,-0.8925000429153442,-0.18783821165561676,0.001038387417793274,-0.7625471353530884,3.946214437484741,0.0,0.0,3.6627397537231445,-344.86041259765625,-71.0468521118164,-7.981131553649902,-0.8874830007553101,179.64964294433594,0.003713086945936084,0.01891133561730385,0.10621283948421478,0.9975349307060242,-0.06961372494697571,-0.00751311844214797,-0.003588977036997676,0.0,1
